Date,Open,Close,High,Low,Volume
2020/11/18,481.95,481.79,488.61,477.72,3629237
2020/11/19,482,484.67,487.8,480.47,2254653
2020/11/20,485.22,488.24,494.76,481.57,4255924
2020/11/23,490.46,476.62,491.15,475.84,5416571
2020/11/24,478.84,482.88,484.05,475.89,3557894
2020/11/25,485.13,485,486.9,478.92,3598629
2020/11/27,486.58,491.36,493.25,481.85,2805762
2020/11/30,490.08,490.7,492.55,481.27,3530940
2020/12/01,492.34,504.58,509.47,491.98,5063234
2020/12/02,501.62,503.38,506.8,493.5,3028358
2020/12/03,502.99,497.52,508.77,496.04,2826116
2020/12/04,497.5,498.31,504.5,493.64,3666243
2020/12/07,500.01,515.78,517.76,497.77,4289293
2020/12/08,517.9,512.66,521.49,505.55,4228950
2020/12/09,510.53,493.6,514.5,491.29,4178768
2020/12/10,494.56,501.09,503.77,492.91,3018203
2020/12/11,495,503.22,503.34,494.85,3210928
2020/12/14,505.44,522.42,524.16,501.18,5770424
2020/12/15,518.5,519.78,524.7,513.56,3398209
2020/12/16,520.11,524.83,527.38,517.69,3682392
2020/12/17,529,532.9,535.49,526.44,3193377
2020/12/18,533.2,534.45,536.37,526.02,4502692
2020/12/21,530.05,528.91,532.62,521.15,3893964
2020/12/22,527.69,527.33,530.4,520.5,1908529
2020/12/23,524.76,514.48,526.32,514.2,2393187
2020/12/24,515.12,513.97,519.35,512.21,1143952
2020/12/28,516.43,519.12,523.66,507.13,2891867
2020/12/29,519.9,530.87,536.55,515.48,4022358
2020/12/30,530.13,524.59,533.26,523.69,1876286
2020/12/31,525.53,540.73,545.5,523.15,5392322
2021/01/04,539,522.86,540.8,515.09,4444407
2021/01/05,521.55,520.8,526.78,515.89,3133872
2021/01/06,511.97,500.49,513.1,499.5,5346210
2021/01/07,508.28,508.89,516.44,506.42,3686448
2021/01/08,511.31,510.4,513.24,504.51,2973949
2021/01/11,507.84,499.1,510.73,497.95,3812720
2021/01/12,500,494.25,501.09,485.67,5990425
2021/01/13,495.5,507.79,512.35,493.01,5032099
2021/01/14,507.35,500.86,514.5,499.58,4177357
2021/01/15,500,497.98,506.32,495.1,5895788
2021/01/19,501,501.77,509.25,493.54,12315813
2021/01/20,565.42,586.34,593.29,556.86,32637450
2021/01/21,582.45,579.84,588.75,570.4,11840634
2021/01/22,582.1,565.17,583.99,564.35,7550822
2021/01/25,567,556.78,569.75,548.65,7207329
2021/01/26,554.73,561.93,567.99,554.06,5023847
2021/01/27,550.71,523.28,556.42,515.73,8670277
2021/01/28,535.88,538.6,553.15,530.74,5968978
2021/01/29,538,532.39,541,530.18,4325264
2021/02/01,536.79,539.04,545.06,531.73,3547507
2021/02/02,542.01,548.16,555.48,538.93,3767569
2021/02/03,550.17,539.45,550.48,538.24,3172288
2021/02/04,539.81,552.16,559.48,537.51,5164537
2021/02/05,552.26,550.79,554.44,545.48,2376175
2021/02/08,555,547.92,555,543.7,2791721
2021/02/09,546,559.07,566,543,3703499
2021/02/10,562.5,563.59,566.65,553.46,3991264
2021/02/11,564.44,557.59,565.93,554.22,2730587
2021/02/12,556.94,556.52,561.25,550.85,2197128
2021/02/16,557.29,557.28,563.63,552.73,2624097
2021/02/17,550.99,551.34,555.25,543.03,2071590
2021/02/18,549,548.22,550,538.23,2457604
2021/02/19,548,540.22,548.99,538.81,2841457
2021/02/22,534.99,533.78,541.79,530.79,3078594
2021/02/23,525,546.15,548.54,518.28,4136532
2021/02/24,539.8,553.41,556.85,539.07,3245038
2021/02/25,550.27,546.7,556.48,535.75,4252879
2021/02/26,546.51,538.85,553.09,538,3755574
2021/03/01,545.57,550.64,552.14,542,3042180
2021/03/02,553.34,547.82,556.99,546.02,3042226
2021/03/03,545.93,520.7,548.01,517.81,5362443
2021/03/04,521.5,511.29,531.5,507.68,5034792
2021/03/05,511.98,516.39,517.76,498.79,5069973
2021/03/08,514.46,493.33,518.84,492.85,3981758
2021/03/09,507.31,506.44,513.11,503.82,3470042
2021/03/10,513.5,504.54,518.97,504.25,3771484
2021/03/11,512.2,523.06,530.24,510.71,4714469
2021/03/12,512.5,518.02,526.51,506.59,3981743
2021/03/15,516.32,520.25,520.73,508.03,3485519
2021/03/16,524.47,524.03,533.42,523.21,3238888
2021/03/17,522,524.44,528.37,514.3,2817376
2021/03/18,516.4,504.79,517.9,503.85,4096606
2021/03/19,504.96,512.18,513.19,501.63,4386360
2021/03/22,509.13,523.11,529.31,509.13,3360587
2021/03/23,529.87,535.09,543.12,529.4,5583461
2021/03/24,533.78,520.81,534.42,520,4102211
2021/03/25,516.99,502.86,518.53,497,4926764
2021/03/26,502.82,508.05,508.72,496.68,3467797
2021/03/29,505.66,513.95,518,504.4,3330049
2021/03/30,510.51,513.39,514.41,506.91,2418129
2021/03/31,515.67,521.66,528.13,515.44,3503111
2021/04/01,529.93,539.42,540.5,527.03,3938637
2021/04/05,540.01,540.67,542.85,529.23,3355904
2021/04/06,544.81,544.53,554.17,543.3,3474205
2021/04/07,543.5,546.99,549.64,541.45,2151319
2021/04/08,551.13,554.58,556.9,547.57,4309829
2021/04/09,552.69,555.31,556.9,547.11,2894034
2021/04/12,551.05,552.78,557.98,549.58,2944060
2021/04/13,557,553.73,559.75,550.3,2720344
2021/04/14,554.87,540.02,554.87,538.53,3740294
2021/04/15,544.17,549.22,553.49,542.66,3139050
2021/04/16,550.54,546.54,551.98,539.51,3209075
2021/04/19,546.9,554.44,556.44,545.53,4288715
2021/04/20,554.42,549.57,563.56,546.3,11257648
2021/04/21,508,508.9,515.46,503.6,22897446
2021/04/22,513.82,508.78,513.96,500.55,9061062
2021/04/23,509.01,505.55,509.7,500.7,7314659
2021/04/26,506.76,510.3,510.48,503,4388839
2021/04/27,512.62,505.55,512.99,504.58,3761327
2021/04/28,505.2,506.52,508.4,503.34,3192983
2021/04/29,507.6,509,509.29,499,5127792
2021/04/30,505,513.47,514.55,505,4413242
2021/05/03,512.65,509.11,518.95,505.2,4091895
2021/05/04,510.78,503.18,511.63,496.79,4349502
2021/05/05,504.99,496.08,507.78,494.63,3129366
2021/05/06,495.99,499.55,499.55,491.37,3783698
2021/05/07,504.62,503.84,508.55,501.12,3132786
2021/05/10,502,486.69,503.15,486.11,5131632
2021/05/11,479.75,495.08,497.99,478.63,4401000
2021/05/12,486.83,484.98,493.54,482.7,4121540
2021/05/13,489.13,486.66,490.78,482.71,2716561
2021/05/14,487.86,493.37,494.85,486.59,2882464
2021/05/17,485.59,488.94,492.71,482.81,2705249
2021/05/18,488.4,486.28,493.48,486.19,2350496
2021/05/19,481.63,487.7,488.57,478.54,3349930
2021/05/20,489.55,501.67,502.7,488.98,3721218
2021/05/21,503.12,497.89,505.4,497.26,3322925
2021/05/24,501.05,502.9,504.25,499.51,2412595
2021/05/25,506,501.34,506.37,499.22,2699459
2021/05/26,502.34,502.36,504.14,500.5,2465303
2021/05/27,501.8,503.86,505.1,498.54,3253773
2021/05/28,504.4,502.81,511.76,502.53,2911297
2021/06/01,504.01,499.08,505.41,497.74,2482555
2021/06/02,499.82,499.24,503.22,495.82,2268979
2021/06/03,495.19,489.43,496.66,487.25,3887445
2021/06/04,492,494.74,501.86,490.95,3160487
